,S,E,I,R,t
0,58999997.0,3.0,0.0,0.0,0.0
1,58999995.45697785,2.2713261004973604,1.9961563281629486,0.27553967984702754,5.05050505050505
2,58999991.31491922,3.666759532209807,4.003128117889965,1.0151930897980979,10.1010101010101
3,58999983.46519748,6.680922228127276,7.436950831186081,2.416929413041144,15.15151515151515
4,58999968.94955085,12.312435752549021,13.72900313601632,5.009010213672719,20.2020202020202
5,58999942.16366175,22.713575099605723,25.330554822583395,9.792208302991762,25.252525252525253
6,58999892.74439671,41.9048791827739,46.733634679049906,18.617089407672676,30.3030303030303
7,58999801.568680905,77.31194282624581,86.2208668508604,34.898509410466424,35.35353535353535
8,58999633.3552237,142.63567557700858,159.07233010224695,64.9367706157799,40.4040404040404
9,58999323.01301563,263.1530835998431,293.4783885710333,120.35551220116162,45.45454545454545
10,58998750.456481725,485.4967886413941,541.4473099409397,222.59941968986493,50.505050505050505
11,58997694.147054024,895.6943289521656,998.9268302055702,411.23178680604286,55.55555555555555
12,58995745.40132122,1652.4377369113845,1842.9194972515656,759.2414446153283,60.6060606060606
13,58992150.36701337,3048.4234111650667,3399.9318594539554,1401.2777159961036,65.65656565656565
14,58985518.72475066,5623.382473941007,6272.169074642201,2585.723700738757,70.7070707070707
15,58973287.09996208,10372.145153115656,11570.04967858098,4770.705206211271,75.75757575757575
16,58950731.946816355,19126.909262555466,21340.137605287426,8801.006315792736,80.8080808080808
17,58909158.08509909,35257.075957839494,39351.10300448716,16233.735938571468,85.85858585858585
18,58832589.57836759,64942.014363883645,72531.73174606514,29936.675522459056,90.9090909090909
19,58691775.870251566,119457.15409404892,133583.21691493446,55183.75873945067,95.95959595959596
20,58433507.28358756,219183.5962580837,245661.46548175003,101647.65467261079,101.01010101010101
21,57962144.73078314,400317.190222474,450557.88273681805,186980.19625756156,106.06060606060605
22,57109585.34371848,725023.8264512878,822290.851477471,343099.97835275903,111.1111111111111
23,55592512.46456089,1293320.9173218908,1487408.8774419725,626757.7406752389,116.16161616161615
24,52970431.58192278,2245633.5316638155,2648147.6666858583,1135787.2197275404,121.2121212121212
25,48661889.75246186,3721673.6388439615,4586823.728189294,2029612.8805048838,126.26262626262626
26,42151935.18115302,5713589.677594064,7591769.627198846,3542705.51405406,131.3131313131313
27,33509692.39304562,7810746.477474758,11719479.435293386,5960081.694186228,136.36363636363635
28,23916058.420704603,9130757.631518584,16439568.126992736,9513615.820784062,141.4141414141414
29,15309053.49208839,8904271.383512782,20573016.67060571,14213658.453793105,146.46464646464645
30,9050698.927169926,7276795.379671065,22921250.575894944,19751255.117264055,151.5151515151515
31,5194229.429097187,5141202.5788648315,23062897.059012137,25601670.93302584,156.56565656565655
32,3038906.788989857,3276450.83640933,21435296.914257117,31249345.460343692,161.6161616161616
33,1873576.1656654812,1960565.4523369737,18820926.561108347,36344931.82088918,166.66666666666666
34,1235751.8196149475,1137730.3308298853,15896943.557990875,40729574.29156427,171.7171717171717
35,873568.5711226,656144.671683774,13086419.015012223,44383867.74218138,176.76767676767676
36,658221.62008582,382883.8954599106,10592946.06921055,47365948.41524371,181.8181818181818
37,524123.4183293364,228923.25614623976,8480816.460881744,49766136.864642665,186.86868686868686
38,437035.3333926269,141317.75931579454,6741032.293321682,51680614.61396988,191.91919191919192
39,378392.7121754914,90364.5178578264,5332626.974578284,53198615.79538838,196.96969696969697
40,337694.3572378581,59829.74342938833,4204986.893296601,54397489.00603614,202.02020202020202
41,308743.9651666504,40895.02914029798,3308567.7865730794,55341793.21911996,207.07070707070704
42,287736.43610639067,28733.216478953604,2599312.3966148784,56084217.950799756,212.1212121212121
43,272248.0294577009,20654.926806767773,2039923.4350733662,56667173.60866214,217.17171717171715
44,260683.3947424994,15124.180616467718,1599696.1268310864,57124496.29780992,222.2222222222222
45,251961.61303265166,11237.40131775342,1253775.6258008266,57483025.35984874,227.27272727272725
46,245331.66936054642,8445.66625619721,982255.1198126803,57763967.54457054,232.3232323232323
47,240260.4024457603,6404.393888261063,769300.7982184851,57984034.40544745,237.37373737373736
48,236362.35210131056,4890.292508260588,602376.821519519,58156370.533870876,242.4242424242424
49,233354.56805808487,3754.3227796720757,471590.0036049475,58291301.10555726,247.47474747474746
50,231026.71923707973,2894.3193129895717,369150.19138293207,58396928.77006696,252.5252525252525
51,229220.83789809083,2238.5921047290294,288933.0453936136,58479607.52460353,257.57575757575756
52,227817.28759201014,1735.816446071528,226129.44614982998,58544317.44981206,262.6262626262626
53,226724.84937582994,1348.6206958470696,176966.29863301848,58594960.23129527,267.67676767676767
