,S,E,I,R,t
0,3999996.2,-1.1714126,20.230875,-0.06566854,0.0
1,4000001.0,-0.7398145,14.554337,-0.6652174,1.0
2,3999990.0,-0.0011044294,13.724075,0.09353633,2.0
3,3999996.5,0.58767736,15.709297,0.19768716,3.0
4,3999991.8,1.0304487,18.43601,-0.6901949,4.0
5,3999956.2,0.9528162,15.152783,-4.0124197,5.0
6,3999966.5,0.99431694,13.563624,-2.9521813,6.0
7,3999976.8,1.0359789,11.974625,-1.8917032,7.0
8,3999987.0,1.0774635,10.383883,-0.83123773,8.0
9,3999997.2,1.1190933,8.795516,0.2291394,9.0
10,4000007.2,1.1606263,7.2060413,1.289466,10.0
11,4000017.5,1.2022238,5.615934,2.3498306,11.0
12,4000015.8,1.1588527,2.3108702,2.1845675,12.0
13,4000012.5,1.1055176,-1.1948358,1.8768227,13.0
14,4000009.5,1.0523115,-4.699276,1.569141,14.0
15,4000006.2,0.9990088,-8.204032,1.2614973,15.0
16,4000003.0,0.9458672,-11.708947,0.95370203,16.0
17,4000007.2,0.5382279,-14.882517,1.2972281,17.0
18,4000015.0,-0.05323027,-17.882818,1.978159,18.0
19,4000022.8,-0.644753,-20.885178,2.6589131,19.0
20,4000009.0,-0.08383183,-23.769493,1.9808095,20.0
21,3999989.2,1.1220276,-16.542723,-0.21499094,21.0
22,3999952.5,3.0810597,1.0677726,0.21708608,22.0
23,3999918.0,5.013118,19.124493,0.5423113,23.0
24,3999912.0,6.6004486,42.854427,-0.48840582,24.0
25,3999906.2,8.187941,66.58183,-1.5191734,25.0
26,3999900.2,9.775256,90.30876,-2.5494993,26.0
27,3999894.2,11.362619,114.03743,-3.5804942,27.0
28,3999888.5,12.950079,137.76466,-4.6108956,28.0
29,3999882.5,14.537395,161.49223,-5.641575,29.0
30,3999875.2,16.194263,185.97552,-6.18246,30.0
31,3999851.5,18.6371,219.00275,-1.1756221,31.0
32,3999828.0,21.07997,252.03027,3.8313925,32.0
33,3999798.5,25.19796,308.69992,7.1123834,33.0
34,3999768.0,29.621061,369.67593,10.079029,34.0
35,3999737.5,34.044132,430.65024,13.046027,35.0
36,3999707.0,38.4672,491.62515,16.012672,36.0
37,3999676.5,42.89034,552.6002,18.979559,37.0
38,3999644.2,47.47564,614.46423,21.82172,38.0
39,3999510.2,60.26293,734.56085,18.32681,39.0
40,3999358.5,73.56877,861.5481,14.812919,40.0
41,3999206.8,86.87439,988.53485,11.298977,41.0
42,3999055.0,100.17986,1115.521,7.785237,42.0
43,3998903.2,113.48582,1242.5094,4.27132,43.0
44,3998751.5,126.79179,1369.4962,0.75747895,44.0
45,3998598.8,139.7767,1498.616,-2.0681489,45.0
