,S,E,I,R,t
0,59050268.0,81916.05,-74056.836,100285.24,0.0
1,58646190.0,32582.447,-16687.635,-31838.168,5.05050505050505
2,59281116.0,3576.597,-12017.929,-93588.95,10.1010101010101
3,59294604.0,-2357.884,1009.6847,-47985.3,15.15151515151515
4,58735956.0,1647.4176,25800.229,152748.53,20.2020202020202
5,58824212.0,-15522.943,-25799.541,149374.77,25.25252525252525
6,59180410.0,-15809.755,-24752.74,26990.787,30.3030303030303
7,59142956.0,-12546.791,-6169.4556,-15105.969,35.35353535353535
8,59107080.0,-6582.921,-1556.7977,-19401.127,40.4040404040404
9,59071200.0,-619.59576,3055.1726,-23696.285,45.45454545454545
10,59035316.0,5344.682,7667.143,-27987.94,50.5050505050505
11,58999452.0,11306.783,12278.426,-32286.602,55.55555555555554
12,58963580.0,17271.06,16890.396,-36578.258,60.6060606060606
13,58927700.0,23235.066,21503.742,-40869.91,65.65656565656565
14,58891796.0,29198.527,26117.773,-45165.07,70.7070707070707
15,58855944.0,35162.125,30726.307,-49460.227,75.75757575757575
16,58820064.0,41125.586,35339.652,-53751.883,80.8080808080808
17,58784196.0,47089.59,39950.934,-58047.04,85.85858585858584
18,58748316.0,53052.645,44564.97,-62342.2,90.9090909090909
19,58713436.0,60195.06,43630.89,-61532.914,95.95959595959594
20,58469890.0,179816.81,203106.78,77810.984,101.010101010101
21,58016684.0,410445.9,521844.1,354190.06,106.06060606060603
22,57086584.0,721940.2,905867.25,721016.2,111.11111111111109
23,55302084.0,1292842.2,1463001.5,922422.7,116.16161616161615
24,52930310.0,2206370.2,2523511.5,557786.2,121.2121212121212
25,49189824.0,3764330.5,4811576.5,1418471.4,126.26262626262627
26,42964900.0,5701302.0,7920123.0,4188099.0,131.3131313131313
27,35311470.0,7653720.0,11571972.0,6984820.0,136.36363636363637
28,25887610.0,9034239.0,16345737.0,8658003.0,141.4141414141414
29,18522284.0,8915034.0,19766478.0,13812596.0,146.46464646464642
30,12469311.0,7302581.5,21744972.0,20423778.0,151.5151515151515
31,8037824.5,5270120.0,21832110.0,25493180.0,156.56565656565655
32,5013499.0,3412975.5,20018436.0,31032536.0,161.6161616161616
33,2584688.8,2104771.8,17307258.0,36312520.0,166.66666666666666
34,1457391.8,1238549.0,14706175.0,40801736.0,171.71717171717168
35,1690304.2,792744.44,12180255.0,44329524.0,176.76767676767673
36,1481922.5,500938.8,9921729.0,47284476.0,181.8181818181818
37,977069.75,318658.7,7864449.5,49811068.0,186.86868686868686
38,636529.56,229002.11,6301492.5,51499044.0,191.9191919191919
39,386657.16,157046.27,5014974.5,53127080.0,196.96969696969697
40,280255.66,96527.81,3733261.5,54650584.0,202.020202020202
41,257932.03,76363.75,2853531.2,55597670.0,207.07070707070702
42,253111.38,65435.23,2455971.5,56040656.0,212.12121212121207
43,248304.72,54504.395,2058411.4,56483576.0,217.17171717171715
44,243470.03,43578.047,1660872.2,56926570.0,222.22222222222217
45,238642.36,32646.803,1263313.5,57369548.0,227.27272727272725
46,233807.69,21719.098,865775.44,57812548.0,232.3232323232323
47,229008.03,10789.487,468194.03,58255460.0,237.37373737373738
48,225343.48,2488.2617,165637.1,58592596.0,242.4242424242424
49,225175.33,2423.4976,160994.88,58598156.0,247.47474747474743
50,225021.17,2356.2847,156342.36,58603750.0,252.52525252525248
51,224888.05,2290.704,151703.58,58609230.0,257.5757575757576
52,224761.92,2222.6748,147062.06,58614668.0,262.6262626262626
53,224614.78,2155.7336,142432.9,58620148.0,267.67676767676767
54,224460.64,2089.8813,137768.02,58625760.0,272.7272727272727
55,224355.53,2021.3075,133136.8,58631156.0,277.77777777777777
56,224222.4,1953.8223,128509.016,58636572.0,282.8282828282828
57,224103.28,1891.2351,123870.92,58642044.0,287.8787878787879
58,223914.11,1821.0288,119218.41,58647700.0,292.92929292929284
59,223816.02,1753.5436,114587.875,58653044.0,297.97979797979804
60,223640.84,1687.1469,109925.04,58658708.0,303.030303030303
61,223507.72,1622.3828,105286.95,58664188.0,308.08080808080814
62,223367.58,1557.0745,100655.05,58669636.0,313.1313131313131
63,223206.42,1487.4124,96003.21,58675244.0,318.1818181818182
64,223108.33,1424.281,91376.125,58680612.0,323.2323232323232
65,222954.17,1354.0746,86738.03,58686144.0,328.28282828282823
66,222821.05,1289.8549,82090.32,58691624.0,333.3333333333333
67,222687.92,1223.4581,77439.86,58697076.0,338.3838383838384
